First Name (required),Last Name (required),Title,Company,Description,Image URL,Website,Twitter Handle,Facebook URL,LinkedIn URL,Session IDs,Attendee ID,Speaker ID
Nicole,Burkhardt,P.E. / Landfill Gas Engineer,Delaware Solid Waste Authority,"<strong>BIO: </strong> Ms. Burkhardt is a Landfill Gas Engineer at the Delaware Solid Waste Authority (DSWA). She is responsible for air quality permit compliance for the Central (CSWMC) and Southern (SSWMC) Solid Waste Management Centers, management of long term landfill gas (LFG) beneficial use contracts, and management of various LFG construction projects. She serves as the YP Representative for SWANAâ€™s Landfill Gas and Biogas Technical Division. She also serves on the Examining Committee for the Delaware Association of Professional Engineers (DAPE). Ms. Burkhardt holds a Bachelor of Environmental Engineering degree and a Master of Civil Engineering degree from the University of Delaware. ",http://www.swana.org/Portals/0/events/speakers/NicoleBurkhardt.png,,,,,ItSTD040616YPall040616930AM,,NBurkhardt
Mark,Schlievert,Director of Solid Waste,Berkeley County -  South Carolina,"<strong>BIO: </strong> Mark Schlievert is originally from Iowa, where he joined the U.S. Army Engineers, serving for 13 years as a combat engineer and construction diver. Mark has an Associateâ€™s degree in construction technology from Iowa Central Community College and a Bachelor of Science degree from the University of Iowa, where he majored in engineering geology with a minor in English. Mark has more than 44 years of construction experience and more than 20 years in the solid waste industry. ",http://www.swana.org/Portals/0/events/speakers/MarkSchlievert.png,,,,,ATCSTCSBC040616LF0406161030AM,,MSchlievert
Chris,Eichelberger,Vice President - Technical Marketing,Agru America,"<strong>BIO: </strong> Chris Eichelberger's role includes oversight of the companyâ€™s complete geosynthetics product line, including management of the unique ClosureTurf system, which uses Agru structured membrane products in conjunction with product technology from Watershed Geosynthetics to provide engineered synthetic turf closure solutions for impoundments and landfills. He holds a Bachelor of Science degree from Pennsylvania State University and has more than 14 years of experience in the geosynthetics industry including; divisional management, business development, contract administration, project management, constructability reviews, installation of products, specification and material selection and field experience in CQA of soils and geosynthetic materials. Chris serves the Board of Directors for the International Association of Geosynthetic Installers (IAGI) and has worked with large environmental construction and geotechnical engineering firms. ",http://www.swana.org/Portals/0/events/speakers/ChrisEichelberger.png,,,,,ATCSaCHoaETCSaML040616LF0406161030AM,,CEichelberger
Juli,Blalock,Environmental Engineer - Department of Health and Environmental Control,Bureau of Land and Waste Management,COMING SOON,http://www.swana.org/Portals/0/events/speakers/JuliBlalock.png,,,,,ATCSPoATSaFCS040616LF0406161030AM,,JBlalock
Sahadat,Hossain,Director,Solid Waste Institute for Sustainability,"<strong>BIO: </strong> Dr. Sahadat Hossain is a professor of civil engineering at the University of Texas at Arlington and director of the Sustainable Management of Resources: Research and Training (SMAR2T) Center.Â <br> Dr. Hossain has more than 15 Â years of professional and research experience in different aspects of sustainable waste management. The major objective of his research is to develop and test innovative, cost-effective and sustainable technologies for sustainable solid waste management systems, including enhanced leachate recirculation (bioreactor) landfill technology, landfill to gas to energy, use of waste materials for sustainable and reusable construction materials and landfill mining. Recently, Dr. Hossain completed a project with the City of Denton to study efficiency of leachate recirculation system in an enhanced leachate recirculation (ELR) or bioreactor landfill. This was the first bioreactor landfill project in Texas. Dr. Hossain had successfully utilized resistivity imaging Â  methods to monitor moisture movement within the landfill solid waste during the bioreactor landfill operation. Based on his results, he has proposed an innovative method of determining moisture content within landfilled solid waste without drilling or destructive testing. This is first proposed method of this kind in the U.S. and will have significant effect on the future landfill operation and management practices. Dr. Hossain also is working with other cities in Texas and the U.S. Environmental Protection Agency (EPA) to study the feasibility of a landfill gas to energy project in Ghana.Â <br> Dr. Hossain has completed his B.S. degree in civil engineering from the Indian Institute of Technology, Bombay, India; a Master of Engineering in Geotechnical Engineering from the Asian Institute of Technology (AIT), Bangkok, Thailand; and his Ph.D. from North Carolina State University at Raleigh, North Carolina.<br> <br> ",http://www.swana.org/Portals/0/events/speakers/SahadatHossain.png,,,,,IFWaRORCoE040616RTZW0406161030AM,,SHossain
Paul,Oostelbos,Director International Business Development,Orgaworld ,"<strong>BIO: </strong> Paul Oostelbos is director of international business development of Shanks. He has worked more than 25 years within the environmental and recycling industry. Starting as a process engineer/project manager, he developed into a multidisciplinary generalist well aware of all aspects to successfully run a project and business. At Shanks Municipal/Orgaworld, he is responsible for all aspects of growth and development of the company into new markets, especially Canada and the United States of America, as seen with the development of the London, Ottawa and Surrey facilities. He led Shanksâ€™ successful bid for the Surrey Biofuel Facility Project: a P3-project with the City of Surrey for the design, build, operation and maintenance of a 115,000-tpy organic waste procesÂ¬sing facility that combines biocel dry anaerobic digestion with Orgaworldâ€™s robust tunnel composting technology. ",http://www.swana.org/Portals/0/events/speakers/PaulOostelbos.png,,,,,IFWaRSBFBCC040616RTZW0406161030AM,,POostelbos
David,Cox,Director of Operations & General Counsel,Coalition For Renewable Natural Gas,"<strong>BIO: </strong> David Cox is director of operations, general counsel, and a co-founder of the Coalition for Renewable Natural Gas. Under the leadership of Mr. Cox and executive director Johannes Escudero, the RNG Coalition has grown to a national and increasingly international force for the advancement of renewable natural gas. David is widely recognized for his leadership in law and policy, including securing RNGâ€™s place as the predominate source of cellulosic biofuel under the federal Renewable Fuel Standard (RFS2). David is an attorney and graduate of the University of the Pacificâ€™s McGeorge School of Law. He received his Bachelor of Arts degree from Westmont College. Prior to working for the RNG Coalition, he spent six years as staff in the California State Assembly, where he played an instrumental role in major energy, environmental and transportation policies. Â  ",http://www.swana.org/Portals/0/events/speakers/DavidCox.png,,,,,HB040616LGB0406161030AM,,DCox
Harrison,Clay,President,Clean Energy Renewable Fuels,"<strong>BIO: </strong> Harrison Clay serves as president of Clean Energy subsidiary Clean Energy Renewable Fuels. Harrison is responsible for leading Clean Energyâ€™s efforts to produce and sell renewable natural gas (or biomethane) that is derived from the anaerobic decomposition of organic waste. He also serves on the Board of Managers for Clean Energyâ€™s landfill gas processing companies: Dallas Clean Energy McCommas Bluff and Canton Renewables. Prior to joining Clean Energy, Harrison served as director of corporate development and general counsel at the San Francisco investment bank WR Hambrecht &amp; Co. He has extensive experience in corporate and project finance, mergers and acquisitions, corporate development, venture capital and the clean tech and energy industries. Harrison earned his law degree from the University of Virginia and a dual Bachelorâ€™s degree in anthropology and English from the University of Georgia. ",http://www.swana.org/Portals/0/events/speakers/HarrisonClay.png,,,,,HB040616LGB0406161030AM,,HClay
Evan,Williams,President,Cambrian Energy,"<strong>BIO: </strong> Evan Williams is responsible for the structuring of Cambrianâ€™s energy projects. In doing so, Evan works with landfill owners and energy customers and their legal counsel to arrive at agreements that reflect a fair sharing of both responsibilities and benefits. These agreements must not only meet the financial expectations of the parties, but also must satisfy the requirements for a successful energy project development in the areas of regulatory compliance, permitting, tax law, real property title issues and financing. Evan received his Bachelor of Arts degree from UCLA in 1965. He received his Juris Doctor from UCLA in 1968. Evan is a principal in the law firm of Poindexter &amp; DoutrÃ©, Inc., and a director of Glass Inc. International. ",http://www.swana.org/Portals/0/events/speakers/EvanWilliams.png,,,,,HB040616LGB0406161030AM,,EWilliams
Ivan,Cooper,Principal,"Civil and Environmental Consultants, Inc.","<strong>BIO: </strong> Ivan Cooper is the national water resources and wastewater practice leader for Civil and Environmental Consultants, Inc. He has designed more than 100 leachate, industrial and municipal wastewater treatment plants and oversees projects in wastewater reuse, wastewater permitting and treatability. He is a graduate of Union College and has a Masterâ€™s degree in civil engineering from Northwestern University. He is a P.E. in 13 states and is a Board Certified Environmental Engineer from the American Academy of Environmental Engineers with a wastewater treatment specialty. He is the Chair of SWANAâ€™s Leachate Management Committee. ",http://www.swana.org/Portals/0/events/speakers/IvanCooper.png,,,,,IaSoLTTCaBS040616LF0406161230PM,,ICooper
Marc,Rogoff,Project Director,SCS Engineers,"<strong>BIO: </strong> Marc Rogoff is a nationally recognized expert in the financial modeling of solid waste management systems. With more than 30 years of experience in solid waste management as a public agency manager and consultant, he has managed more than 100 Pro Forma modeling and rate assessments throughout the U.S. on all facets of solid waste management. They include waste collection studies, facility feasibility assessments, asset valuations, transfer station versus long-haul transport evaluations, fleet management and vehicle acquisition planning, MRF contract assessment and operations, and waste conversion feasibility. Marc has directed independent engineerâ€™s feasibility reports for nearly two dozen major public works projects totaling more than $1.2 billion in project financings. His work has included development of detailed spreadsheet rate models establishing the financial feasibility of each projects, long-term economic forecasts, cash flow and IRR analysis, cost of service, financial assurance, and projected rate impact upon project users and customers. He has written widely in the field and is the author of several noted textbooks covering the topics of financial forecasting and project feasibility. ",http://www.swana.org/Portals/0/events/speakers/MarcRogoff.png,,,,,IaSoLTTS040616LF0406161230PM,,MRogoff
Jim,Seley,President,Normandy Waste Management System,"<strong>BIO: </strong> Jim Seley is the managing member and president of Feed Commodities, LLC (est. 1996), a recycling company located in the Pacific Northwest that converts food by-products into feed ingredients for use in the poultry and dairy industries. Inspired to capture real-time data and improved waste stream tracking, Jim founded Normandy Waste Management Systems in 2011. Normandy WMS provides food processors with tools and software required to identify waste sources, communicate objectives and ultimately reduce waste. Jim received his Bachelorâ€™s degree from the College of the Holy Cross in Worcester, Massachusetts, and his MBA from the University of Washington. In addition to coaching local youth sports, Jim is a contributing board member on the Tacoma-Pierce County Business Alliance Political Action Committee and the Pointe du Hoc Foundation. Jimâ€™s exemplary leadership and innovative approach were recognized in 2015, when Feed Commodities received the Tacoma-Pierce County Chamber of Commerce Spotlight! Medium Business Award. ",http://www.swana.org/Portals/0/events/speakers/JimSeley.png,,,,,WFiWaWtDWIFWb2HWPFGT040616RTZW0406161230PM,,JSeley
Will,Sagar,Executive Director,Southeast Recycling Development Council,"<strong>BIO: </strong> Will Sagar is executive director with the Southeast Recycling Development Council. He works from his home town of Brevard, North Carolina. Will graduated from the University of North Carolina with a double major in economics and mathematics. After selling the excavation business he built and operated for a decade, he was the solid waste director for Transylvania County, North Carolina, for 16 years. While there he started the recycling program, built the first lined landfill in Western North Carolina; implemented a Pay As You Throw program; established a permanent household hazardous waste collection; and started an electronics recycling program. Later with Henderson County, he started electronics collection and created a county energy accounting system. Will is a past president of the Board of Directors of the Carolina Recycling Association. For several years, he also chaired the Board of the Free Clinic of Transylvania County, which serves the medical needs of the uninsured. ",http://www.swana.org/Portals/0/events/speakers/WillSagar.png,,,,,WFiWaWtDWIFRS2RoOaO040616RTZW0406161230PM,,WSagar
Cheryl,Coleman,Director - Resource Conservation and Sustainability Division,U.S. EPA,"<strong>BIO: </strong> Cheryl Coleman is the Director for the Resource Conservation and Sustainability Division (RCSD) within the Office or Resource Conservation and Recovery at the US EPA. The Resource Conservation and Sustainability Division (RCSD) is responsible for: promoting the reduction, reuse, recovery and recycling of municipal, industrial and extractive wastes and the long term sustainable management of these materials; establishing collaborative partnerships with businesses and State, territorial, and local governments; and, developing policy, technical guidance, tools, and public information on sustainable materials management.<br> Ms. Coleman is a graduate of Hampton University in Hampton, VA. She did further graduate work at Rutgers University, Piscataway, NJ, and earned a Masterâ€™s degree in Biology from the University of South Carolina, Columbia, SC. Ms. Coleman has over thirty years of experience with materials/waste management. She came to US EPA Headquarters from the SC Department of Health and Environmental Control where she was the Director of Compliance and Enforcement for waste programs and mining. Additionally, she served in several leadership capacities for the Association of State and Territorial Solid Waste Management Officials (ASTSWMO). ",http://www.swana.org/Portals/0/events/speakers/CherylColeman.png,,,,,WFiWaWtDWIFRS2RoOaO040616RTZW0406161230PM,,CColeman
Amy,Kosar,Senior Account Manager - Retail Product Sourcing,Feeding America,"<strong>BIO: </strong> Amy Kosar has worked in food banking for 10 years. She was the food sourcing manager at the Lowcountry Food Bank in Charleston, South Carolina, until she joined the Feeding America team in July of 2015. She works with food banks in seven southern states and grocery partners including Publix, Southeastern Grocers and H-E-B to help manage and facilitate their store donation programs. ",http://www.swana.org/Portals/0/events/speakers/AmyKosar.png,,,,,WFiWaWtDWIEFtFPiN040616RTZW0406161230PM,,AKosar
Darrin,Dillah,Vice President,SCS Engineers,"<strong>BIO: </strong> Dr. Dillah received his Bachelor of Science degree. in electrical engineering from the University of Florida, his Master of Science degree in environmental engineering from New York University Polytechnic School of Engineering (NYU-Poly), and his Ph.D. in civil engineering ,also from NYU-Poly. He is a registered professional engineer and Board Certified Environmental Engineer. Dr. Dillah is a vice president of SCS Engineers and heads up its landfill gas/engineering group in the Reston, Virginia, office. He has 25 years of experience in the environmental engineering field. ",http://www.swana.org/Portals/0/events/speakers/DarrinDillah.png,,,,,LCSaRaALGS_ILCS040616LGB0406161230PM,,DDillah
Chris,Meoli,Engineer,Fairfax County Department of Public Works and Environmental Services,"<strong>BIO: </strong> Chris Meoli received his Bachelor of Science degree in environmental engineering from Florida Institute of Technology. He is a registered professional engineer in Virginia and is a licensed Virginia Class II Waste Management Facility Operator. Chris has more than 20 years of experience in environmental compliance and engineering. He is an engineer with the County of Fairfax in the Department of Public Works and Environmental Services, Solid Waste Management Program. He spent 7.5 years at the Fairfax County I-95 Landfill overseeing technical staff and contractors, where he was responsible for the management of the LFG, leachate and storm water system systems and for overall environmental compliance. He also helped to support the planning, design and operation of the ash monofill at the Landfill. Previously, he worked for nine years in air permitting and compliance with the Virginia Department of Environmental Quality in the Northern Virginia office. ",http://www.swana.org/Portals/0/events/speakers/ChrisMeoli.png,,,,,LCSaRaALGS_ILCS040616LGB0406161230PM,,CMeoli
Joseph,Curro,Principal Engineer,CDM Smith,"<strong>BIO: </strong> Jospeh Curro is a principal engineer and the landfill gas discipline leader and senior solid waste engineer with CDM in Boston, Massachusetts. He has more than 45 years of experience in solid waste projects, concentrating on waste combustion, landfill gas system design and field operations. He has served as the lead design engineer for many landfill gas extraction, compression, flaring and transmission systems. He has written and presented many papers at various national and regional SWANA conferences. ",http://www.swana.org/Portals/0/events/speakers/JosephCurro.png,,,,,LCSDPPbtSILPMCS040616LGB0406161230PM,,JCurro
Eric,Wilgenbusch,Sales Engineer,Unison,"<strong>BIO: </strong> Eric Wilgenbusch has a Bachelor of Science degree in electro-mechanical engineering from Loras College in Dubuque, Iowa, and is the Eastern region sales and application engineer for Unison Solutions, Inc. For the past 10 years, Eric has been involved in all facets of biogas to energy and biogas to vehicle fueling systems engineered and manufactured by Unison Solutions. Ericâ€™s knowledge of biogas conditioning technology is unsurpassed in this industry, and he truly enjoys helping customers make the most from their biogas. ",http://www.swana.org/Portals/0/events/speakers/EricWilgenbusch.png,,,,,PLTCNT040616LGB0406161230PM,,EWilgenbusch
Jeff,Friesen,Project Manager,"Energyneering Solutions, Inc.","<strong>BIO: </strong> Jeff Friesen is a professional mechanical engineer and founding member of ENERGYneering Solutions, Inc. (ESI). He has eight years of experience in the landfill gas industry and has been involved in development, design and construction of more than 25 diverse renewable energy projects. Jeffâ€™s experience includes: landfill and digester gas collection and control, landfill gas-to-energy, renewable natural gas conversion of biofuels, biofuel cleanup systems, woody biomass thermal energy and hydroelectricity. In 2011, Jeff and his wife Jenna moved to very rural western Tanzania, Africa, to design and install a small hydroelectric turbine at a school. ",http://www.swana.org/Portals/0/events/speakers/JeffFriesen.png,,,,,PLToHaSRTatCBL040616LGB0406161230PM,,JFriesen
Dan,Waineo,Project Engineer,ES Engineering Services,"<strong>BIO: </strong> Daniel Waineo works for ES Engineering Services and has been designing landfill gas to energy systems for 20 years. He has designed regenerale siloxane removal systems, iron chelate and media based H2S treatment systems, IC engine facilities, High BTU facilities, boiler facilities, compressor stations, dehydration treatment systems and turbine and microturbine facilities. ",http://www.swana.org/Portals/0/events/speakers/DanWaineo.png,,,,,PLTRoSfLG040616LGB0406161230PM,,DWaineo
Jana,White,Manager - Solid Waste Grants - Planning and Regulation Development,Department of Health and Environmental Control,"<strong>BIO: </strong> Jana White has more than 20 years of experience in solid waste reduction and oversaw the 2014 revision of the S.C. compost regulation, R.61-107.4. ",http://www.swana.org/Portals/0/events/speakers/JanaWhite.png,,,,,RAoFWRJSFRiSC040616RTZW040616230PM,,JWhite
Jeff,Dworek,Director of Operations,Metro Waste Authority,"<strong>BIO: </strong> Jeff Dworek has served as the director of operations at Metro Waste Authority in Des Moines, Iowa, since 1996. His operational focus supports the organizationâ€™s mission of â€œNo Wasted Resourcesâ€ù and ensures the agency position as a leader in safe, smart disposal and recycling options. As part of senior management, Jeff develops and implements the strategic plan and manages the operational and capital budgets. He has initiated many multi-million dollar projects, positively enhancing an integrated waste management system for Central Iowa. Jeff oversees operations at Metro Wasteâ€™s award-winning Metro Park East Landfill and Metro Central Transfer Station, as well as Metro Park West Landfill and Metro Compost Center. Recent achievements include implementing a new compaction method, which extends the life of the landfill by 17 years, and construction of a second transfer station. An alumnus of Penn State and the University of Iowa, Jeff holds a degree in aerospace engineering and an Executive MBA. He also holds several certifications in waste management. Jeff is a regular contributor to SWANA and NWRA. Since 2005, Jeff has served Iowa solid waste industry professionals as a Board member of the Iowa Society of Solid Waste Operations. ",http://www.swana.org/Portals/0/events/speakers/JeffDworek.png,,,,,LOoSPaYL040616LF040616230PM,,JDworek
Robert,Curtis,Sr. Project Engineer,"HDR Engineering, Inc.","<strong>BIO: </strong> Robert Curtis has more than 25 years of experience designing, permitting, managing, and overseeing construction of civil and environmental projects. He specializes in creating detailed designs for landfill development and closure, stormwater management and erosion control plans for landfill design and remedial action projects. Robert has extensive environmental experience, which includes design of slurry walls, design and oversight for relocation and treatment of contaminated soil, siting and installation of groundwater monitoring wells, and permitting and environmental compliance. ",http://www.swana.org/Portals/0/events/speakers/RobertCurtis.png,,,,,LORwtLLoaCIL040616LF040616230PM,,RCurtis
Richard,Siemering,Florida Waste Operations - Manager,"HDR Engineering, Inc.",COMING SOON,http://www.swana.org/Portals/0/events/speakers/RichardSiemering.png,,,,,LORwtLLoaCIL040616LF040616230PM,,RSiemering
Larry,Ruiz,Landfill Operations Manager,Hillsborough County Public Works Department,"<strong>BIO: </strong> Larry Ruiz has more than 25 years of environmental project experience, including hands-on participation in field work, as well as design work for solid waste management projects. His responsibilities have included landfill siting and design, landfill operations, landfill closure plans, landfill leachate monitoring and treatment system design, landfill gas collection and control systems design, and solid waste facilities environmental assessments. In addition, Larry has extensive solid waste management presentation experience. ",http://www.swana.org/Portals/0/events/speakers/LarryRuiz.png,,,,,LORwtLLoaCIL040616LF040616230PM,,LRuiz
J,Morgan,Project Manager,SCS Engineers,"<strong>BIO: </strong> J Morgan is a project manager with SCS Engineers and works out of the Charlotte, North Carolina, office. He received his Bachelor of Science degree in chemical engineering from Clemson University and is a Licensed Professional Engineer in multiple states, including South Carolina. He received his MBA from Winthrop University in 2005. He is active in the South Carolina chapter of SWANA and serves on the local board. J Morgan has more than 10 years experience as an engineer in compliance, design and investigations for landfill and landfill gas, environmental compliance and site assessment projects with SCS His project experience includes more than 30 landfills in the Unites States and abroad. His experience with compliance includes applying for and obtaining local and federal permits along with preparing reports to comply with Title V permits, NSPS regulations, NESHAP regulations and MACT regulations, to name a few. J Morgan works with clients and regulators in multiple states to ensure the sites he works on are in compliance with local and federal regulations. His assessment experience includes onsite assessment, along with data and documentation review. He works with developers, private firms and municipalities to improve landfill gas collection and usage. ",http://www.swana.org/Portals/0/events/speakers/JMorgan.png,,,,,ILALLAtWACSoILGCS040616LGB040616230PM,,JMorgan
Chuck,Smith,Senior Project Manager,CH2M,"<strong>BIO: </strong> Chuck Smith, P.E., iis a senior member of CH2Mâ€™s Integrated Waste Solutions (IWS) practice within the Environment and Nuclear Business Group. He is a professional engineer registered in Alberta and British Columbia, with more than 20 years of hands-on experience in the solid waste industry. Throughout his career, Chuck has provided project management and technical direction to many municipal clients in the areas of waste planning, waste diversion strategies, landfill permitting and approvals, landfill design and closure, waste management facility infrastructure planning, landfill gas (LFG) control and utilization, greenhouse gas (GHG) emission management and leachate management. Chuck also is responsible for business development within the Canadian Prairie region. ",http://www.swana.org/Portals/0/events/speakers/ChuckSmith.png,,,,,ILACoCLRPADoCaS040616LGB040616230PM,,CSmith
Martin,Ortiz,Landfill Operations Team Leader - Waste & Recycling Services,The City of Calgary,"<strong>BIO: </strong> Martin Ortiz is a hydrogeologist with 16 years of professional experience. Before joining the City of Calgary and Waste and Recycling Services (WRS) in 2005, Martin worked in his native Colombia in the oil and gas sector. He joined WRS as a project hydrogeologist to work on groundwater monitoring, environmental database management, compliance reporting and remediation projects. In 2010, he moved into environmental control leader position, leading regulatory compliance, LFG operations, leachate treatment, closure and post-closure care, remediation projects and other related management duties. In 2015, he accepted the opportunity to lead the landfill operations group; he has been working closely with the landfill superintendents and other members of the landfill operations group on organizational realignment and on improving delivery of programs and services at the three City-owned waste management facilities. ",http://www.swana.org/Portals/0/events/speakers/MartinOrtiz.png,,,,,ILACoCLRPADoCaS040616LGB040616230PM,,MOrtiz
David,Kerr,Manager of Environmental Services,City of Kawartha Lakes,"<strong>BIO: </strong> David Kerr is the manager of environmental services for the City of Kawartha Lakes. He is responsible for operation, regulatory compliance and delivery of waste management, and water and wastewater services. The City of Kawartha Lakes oversees five active and 12 closed landfills David is a Professional Geoscientist with more than 30 years of experience in the waste management industry, having worked at the municipal and provincial government levels and private consulting. Many of the projectswith which he has been involved have required innovation, appreciation of natural processes and evaluation of complex engineering solutions. ",http://www.swana.org/Portals/0/events/speakers/DavidKerr.png,,,,,ILAoaSLGtEP3KoGP040616LGB040616230PM,,DKerr
Denise,Burgess,Project Engineering Manager,Comcor Environmental Limited,"<strong>BIO: </strong> Denise Burgess is an Ontario Professional Engineer and received her Bachelorâ€™s degree in cvil engineering from the University of Waterloo She has been practising in the environmental field for more than 17 years and been involved in more than 30 landfill gas related projects in Canada. She is responsible for all design and approvals related work. She has extensive experience in the approval, design, construction and monitoring and maintenance of landfill gas flaring and utilization systems, as well as in-depth knowledge of the Canadian Landfill Gas Code and how it is adopted in various provinces including Manitoba, Saskatchewan, Ontario and Newfoundland and Labrador. ",http://www.swana.org/Portals/0/events/speakers/DeniseBurgess.png,,,,,ILAoaSLGtEP3KoGP040616LGB040616230PM,,DBurgess
Barry,Shanoff,Attorney at Law,SWANA General Counsel,"<strong>BIO: </strong> Barry Shanoff received his undergraduate and law degrees from Northwestern University. His clients include local governments and waste authorities throughout the country. Since 1982, he has served as general counsel for the Solid Waste Association of North America. Barry has negotiated and written contracts covering put-or-pay arrangements, hauling franchises, privatized landfill operations and management, waste-to-energy projects and landfill gas utilization. As a recognized expert in flow control, he has for many years worked with local officials nationwide in planning and implementing waste facility designation programs. His extensive writing on solid waste issues includes an award-winning legal column that ran for two decades in World Wastes magazine. Since 1999, he has been the Legal Editor of Waste Age magazine (now Waste 360) where his column appears each month. His professional affiliations include membership in the International Municipal Lawyers Association. He is licensed in Illinois, Maryland and the District of Columbia and has qualified to practice in a number of federal district and appeals courts and before the U.S. Supreme Court. ",http://www.swana.org/Portals/0/events/speakers/BarryShanoff.png,,,,,BHiNHftBCLIiWCC040616RTZW040616340PM,,BShanoff
Mark,Hill,Regional Operations Director,DTE Energy,"<strong>BIO: </strong> Mark Hill is an operations director for DTE Biomass Energy and has been with the company for more than 10 years. He oversees seven landfill gas to energy projects including power generation, direct use and high-BTU (renewable natural gas). In this role, he is responsible for safety, daily operations, contract negotiations, wellfield management and personnel management. Mark has been heavily involved in continuous improvement projects for the CAT 3520 fleet, best wellfield management practices and building DTE Biomass Energyâ€™s safety culture. Prior to joining DTE Biomass Energy, Mark was a Cavalry Troop Commander during Operation Iraqi Freedom, leading 80 soldiers conducting convoy escort missions. Additionally, Mark has worked as an analyst in the cement and coal industries. Mark has a Bachelor of Arts degree in economics from Dartmouth College and a Masterâ€™s degree in business administration from the Ross School of Business at the University of Michigan. ",http://www.swana.org/Portals/0/events/speakers/MarkHill.png,,,,,SaUaSPaCitLGI040616LGB040616410PM,,MHill
Steven,Wittman,Senior Client Manager,Cornerstone Environmental Group,"<strong>BIO: </strong> Steven Wittmann has more than 40 years of experience in the environmental investigation, engineering and construction field. Along with his extensive consulting experience, he was a past owner and president of a design-build environmental construction company. His experience includes investigating, permitting and construction of landfill gas control and energy recovery projects. He has managed six biogas to compressed natural gas (CNG) vehicle fuel projects, along with electrical generation projects. ",http://www.swana.org/Portals/0/events/speakers/StevenWittman.png,,,,,SaULPBGMwaSRNGFO040616LGB040616410PM,,SWittman
Russ,Keckler,Project & Product Manager,"CB&I/LFG Specialties, LLC","<strong>BIO: </strong> Russ Keckler is responsible for the flare and evaporator product lines with LFG Specialties, including P&amp;L. He also serves as a functional lead for the design group. He has more than 10 years of experience in the solid waste industry and has managed numerous landfill gas beneficial use projects. ",http://www.swana.org/Portals/0/events/speakers/RussKeckler.png,,,,,SaULDbULGaLET040616LGB040616410PM,,RKeckler
David,Pepper,Vice President and Director of Capital Projects,Waste Industries,"<strong>BIO: </strong> David Pepper holds a Bachelor of Science degree in professional geology from Lousiana University. He has more than 28 years of experience in the solid waste industry working primarily in the areas of landfill development and operations. David serves as vice chair of the Carolinas Chapter of National Waste &amp; Recycling Association (NWRA), and is a member of Legislative Sub-Committee of NWRA Carolinas Chapter, and an EFEF Council member. David holds a SWANA certfication as a Manager of Landfill Operations and also a South Carolina Department of Health and Environmental Control ""Landfill Manager"". ",http://www.swana.org/Portals/0/events/speakers/DavidPepper.png,,,,,SaULDbULGaLET040616LGB040616410PM,,DPepper
Veronica,Roof,Senior Environmental Policy Specialist,Burns & McDonnell,"<strong>BIO: </strong> Veronica Roof leads procurement projects with an objective to facilitate partnerships and secure competitive solid waste and resource recovery services. She has been involved from the initial stages through development of the detailed procurement documentation and contract instruments and contract negotiations. Her experience spans the country including, but not limited to, projects completed for governmental entities in Florida, Georgia, South Carolina, Texas, Oklahoma, Arizona, Minnesota, California and Washington. She has authored a best management guide for recycling procurements and contracts. She is a licensed attorney in the State of Georgia and a member of the Environmental Law Section and Local Government Section of the State Bar of Georgia. Veronica brings more than a decade of experience assisting local, regional and federal governments with solid waste and resource recovery procurement issues, as well as planning, waste characterization and operational studies. ",http://www.swana.org/Portals/0/events/speakers/VeronicaRoof.png,,,,,ORtZWPCfFWD040616RTZW040616420PM,,VRoof
Tim,Flanagan,General Manager,Monterey Regional Waste Management District,"<strong>BIO: </strong><br> Tim Flanagan has been in the recycling and solid waste field for more than 30 years. Timâ€™s public sector experience started with the award winning City of Palo Alto in its recycling and landfilling operations. He also worked for the County of Santa Clara in its Solid Waste Planning Department. Timâ€™s private sector experience spanned 17 years with Waste Management , Inc., serving as their Western Region director of recycling and as a eistrict manager for a variety of collection, recycling and transfer station operations covering northern and southern California. Tim is the general manager for the MRWMD and has oversight for all the district operations including the MRF recycling and composting operations, landfill gas-to-energy plant, equipment maintenance, HHW and Last Chance Mercantile, engineering and landfill site operations. Tim is a SWANA-certified MOLO Landfill Operator, and is the past director of the Recycling and Special Waste Technical Division. He is the Recycling and Special Waste Technical Division representative on the SWANA International Board. He is a director for the Gold Rush Chapter for SWANA and a former president of the Chapter. He is a Board member of Leadership Monterey Peninsula, a local community leadership and training program, and is a member of the Cannery Row Rotary club. Tim holds a Bachelor of Arts in public policy and economics from the University of California Santa Barbara. ",http://www.swana.org/Portals/0/events/speakers/TimFlanagan.png,,,,,ORtZWCPtWT040616RTZW040616420PM,,TFlanagan
Rob,Hilton,Vice-President,"HF&H Consultants, LLC","<strong>BIO: </strong> Rob Hilton is a vice president with HF&amp;H Consultants and the current president of the California Resource Recovery Association. With nearly 15 years of experience in consulting, he has worked with more than 110 government agencies through more than 300 projects with a focus on planning, design, procurement and financial structures of integrated waste management systems focused on reducing landfill disposal and increasing reuse, recycling, and composting. Rob is an active member of the Board of Directors of the California Resource Recovery Association and a member of the Institute of Management Consultants (IMC), American Management Association (AMA), as well as SWANA. ",http://www.swana.org/Portals/0/events/speakers/RobHilton.png,,,,,ORtZWCPtWT040616RTZW040616420PM,,RHilton
