Name (required),Description,Start Time (required),End Time (required),Location,Session Tracks,Filters,Speaker IDs,Link URLs,Session ID
High BTU,"<strong> ABSTRACT:</strong><br> David Cox will speak on the regulatory and legislative policies impacting the renewable natural gas industry, including the most recent and pending legal developments that effect RNG development, operations and profitability.<br> California is changing the landfill gas industry in very material ways. Evan Williams, who has been around nearly as long as landfill gas itself, will discuss the implications of the changes in California and the prospects for those changes infecting the rest of the country.<br> The demand and use of Biomethane vehicle fuel has soared in recent years. Harrison Clay will discuss the drivers for this growth and the opportunities and challenges of further expansion of the biomethane vehicle fuel market. ",4/6/16 10:30,4/6/16 11:30,Ballroom C,LGB, ,"DCox,HClay,EWilliams,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/HighBTU.aspx,HB040616LGB0406161030AM
Lunch,Interested in becoming a Lunch sponsor?,4/6/16 11:30,4/6/16 12:30,Exhibit Hall,all, ,,,L040616all0406161130AM
Introduction and Survey of Leachate Treatment Technologies:Physical Chemical and Biological Systems," <br> <strong> ABSTRACT:</strong><br> This session presents systems and technology advances for leachate management. Presentations cover innovative processes for biological treatment, evaporation and emerging contaminant issues and provide site-specific answers to complex leachate treatment challenges. <br> <br> ",4/6/16 12:30,4/6/16 13:30,Ballroom A,LF, ,"ICooper,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/PhysicalChemicalandBiologicalSystems.aspx,IaSoLTTCaBS040616LF0406161230PM
Introduction and Survey of Leachate Treatment Technologies:Evaporation Systems," <br> <strong> ABSTRACT:</strong><br> This session presents systems and technology advances for leachate management. Presentations cover innovative processes for biological treatment, evaporation and emerging contaminant issues and provide site-specific answers to complex leachate treatment challenges. <br> <br> ",4/6/16 12:30,4/6/16 13:30,Ballroom A,LF, ,"MRogoff,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/EvaporationSystems.aspx,IaSoLTTS040616LF0406161230PM
Why Food is Wasted and What to Do With It:Halving Food Waste by 2030: How Will Production Facilities Get There?,"<strong> ABSTRACT:</strong><br> <br> As defined by the Food Waste Reduction Alliance, production waste is classified within three areas to include waste by design, yield (chronic) losses and quality losses. Accountability of waste sources must be determined at a granular level, by understanding the ingredients, volumes and methods contributing to each waste bucket. Evaluation of waste through sound data metrics and tracking will be vital to achieve larger scale waste reduction goals as set forth by the USDA and EPA. ",4/6/16 12:30,4/6/16 13:30,Ballroom B,RTZW, ,"JSeley,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/HalvingFoodWasteby2030HowWillProductionFacilitiesGetThere.aspx,WFiWaWtDWIFWb2HWPFGT040616RTZW0406161230PM
"Why Food is Wasted and What to Do With It:SERDC/EPA Food Recovery Summit 2015, Report on Obstacles and Opportunities",<strong> ABSTRACT:</strong><br> <br> In November over 250 industry leaders from across the county gathered here in Charleston to assess food recovery in the United States. US EPA and USDA recently announced a national goal of reducing food waste by 50% by 2030. The Summit identified several opportunities and action steps to move the country toward meeting this aggressive goal. The presentation will cover the many facets of the problem with food loss and the efforts to meet the national goal. ,4/6/16 12:30,4/6/16 13:30,Ballroom B,RTZW, ,"WSagar,CColeman,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SERDCEPAFoodRecoverySummit2015ReportonObstaclesandOpportunities.aspx,WFiWaWtDWIFRS2RoOaO040616RTZW0406161230PM
Why Food is Wasted and What to Do With It:Rescuing Excess Food to Feed People in Need,"<strong> ABSTRACT:</strong><br> <br> Feeding America is a nationwide network of food banks and the nation's leading domestic hunger-relief charity. The organization provides food to more than 46 million people through 60,000 food pantries and meal programs. The program began in 1979 as a clearinghouse for national food donations and is now the nationâ€™s largest domestic hunger-relief organizationâ€”a powerful and efficient network of 200 food banks across the country. ",4/6/16 12:30,4/6/16 13:30,Ballroom B,RTZW, ,"AKosar,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/RescuingExcessFoodtoFeedPeopleinNeed.aspx,WFiWaWtDWIEFtFPiN040616RTZW0406161230PM
LFG Case Studies:Evaluating and Rehabilitating an Aging Landfill Gas System _ I-95 Landfill Case Study,"<strong> ABSTRACT:</strong><br> Using the I-95 Landfill as an example, this presentation will explain the general causes of increased landfill gas system operations and maintenance costs over time, identify a method for evaluating an aging landfill gas system, describe the identified issues, explain the proposed solutions to the issues and discuss the resulting construction project.<br> <br> Landfill gas (LFG) management systems age like any other engineered, mechanical system. But, the unique nature of landfill decomposition and the demands of safety, environmental compliance and energy recovery create a dynamic environment under which the system has to perform. These conditions place long-term stresses on system components and increasingly challenge the ability of operators to effectively and efficiently manage the collection and control of LFG in a cost effective manner. We will present a case study of the I-95 Landfill, located in northern Virginia, where due to an aging system, operation and maintenance had become onerous and expensive. As a result, Fairfax County moved forward with a plan to evaluate, redesign and rebuild the system with the intention to simplify operation and optimize performance while reducing lifecycle operation and maintenance costs. This presentation will cover the site history, findings from our system evaluation and the design recommendations. The resulting construction project and our lessons learned also will be discussed. <br> <br> Following this presentation, participants will be able to...<br> 1) understand that as landfill gas systems age, operations and maintenance costs may increase.<br> 2) understand that an evaluation should be performed to compare operation and maintenance cost savings to the costs of upgrades to the landfill gas collection and control system.<br> 3) as landfills age, landfill gas production declines and this may require changes to the gas collection and control system. ",4/6/16 12:30,4/6/16 13:30,Ballroom C,LGB, ,"DDillah,CMeoli,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/EvaluatingandRehabilitatinganAgingLandfillGasSystem.aspx,LCSaRaALGS_ILCS040616LGB0406161230PM
LFG Case Studies:Well Dewatering Pumps Powered by the Sun Increase LFG Production - Multiple Case Studies,"<strong> ABSTRACT:</strong><br> Summary: Current trends in energy pricing are effecting the benefits realized by LFG beneficial use projects. Flooding of LFG extraction wells can severely limit the LFG production potential of wells. By dewatering wells, more of the accumulation slots can be exposed, leading to increases in LFG extraction rates. <br> <br> Description: Flooding of landfill gas wells is an all too common occurrence. Liquid blockage of the well slots and flooding of the surrounding waste can lead to a reduction in LFG generation, increase in surface emissions and reduction in revenue for reuse systems. The need for LFG well dewatering is obvious; the solution may not be obvious. With the ongoing moderation in energy prices, any increase in LFG production helps a projectâ€™s financials. Vendors manufacture many types and capacities of LFG well dewatering pumps. However, all of these pumps have one simple, but restraining trait â€“ they require some form of motive power. Running electrical or compressed air lines to well locations across the entire surface of even a medium sized landfill can be a costly investment. By eliminating the need for these services, many more wells can be dewatered, and LFG flows from each well can be increased. One highly successful means of powering LFG well pumps comes from directly above the landfill â€“ the limitless energy provided by the sun! Recently, the power from the sun has been harnessed to power LFG well pumps with absolutely no need for electrical or compressed air lines to each well. Without the umbilical of electric or compressed air lines, moving pumps from well to well can increase the effectiveness of the dewatering system while reducing the number of pumps needed for a landfill. This presentation will show how these modestly priced and highly effective systems can be used for virtually any LFG well dewatering application and how they can be easily moved for increased total site dewatering efficiency. Documented increases in LFG production due to well pumping will be presented.<br> <br> Following this presentation, participants will be able to...<br> 1) 1ddress extraction well flooding issues<br> 2) 2elect pumps for well dewatering<br> 3) quantify increases in LFG production due to dewatering ",4/6/16 12:30,4/6/16 13:30,Ballroom C,LGB, ,"JCurro,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WellDewateringPumpsPoweredbytheSunIncreaseLFGProduction.aspx,LCSDPPbtSILPMCS040616LGB0406161230PM
Pre/Post LFG Treatment:Biogas Conditioning: New Technologies,"<strong> ABSTRACT:</strong><br> Biogas conditioning systems for use in co-generation equipment and vehicle fuel systems have been common place at landfills for many years. Operational costs for these systems vary greatly depending on the biogas chemistry and the technologies being used. As technologies change, new methods of removing hydrogen sulfide (H2S), siloxanes, and volatile organic (VOCs) from biogas have been developed. These new products can be used in existing systems to help drive operating costs down, and will lower the payback on new systems. New products and site testing will be discussed. ",4/6/16 12:30,4/6/16 13:30,Room 1,LGB, ,"EWilgenbusch,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BiogasConditioningNewTechnologies.aspx,PLTCNT040616LGB0406161230PM
Pre/Post LFG Treatment:Comparisons of H2S and Siloxane Removal Technologies at the Coffin Butte Landfill,"<strong> ABSTRACT:</strong><br> The entrainment of hydrogen sulfide (H2S) and siloxanes within landfill gas poses significant challenges to operating landfill gas-to-energy (LFGTE) facilities. Installation of H2S and siloxane removal systems is becoming increasingly common, being highlighted by the need to extend generator maintenance intervals and/or meet environmental quality requirements for back end emissions reductions. There are many H2S and siloxane removal technologies available in todayâ€™s landfill gas industry. Each technology presents their own unique pros, cons and challenges.<br> Â <br> Following this presentation, participants will be able to:<br> 1. Â  Â  Â  Gain a broad view of available H2S and Siloxane removal systems<br> 2. Â  Â  Â  Understand the pros, cons, and challenges with available systems<br> 3. Â  Â  Â  Understand the conclusions reached in specific reference to the Coffin Butte Resource Project ",4/6/16 12:30,4/6/16 13:30,Room 1,LGB, ,"JFriesen,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ComparisonsofH2SandSiloxaneRemovalTechnologiesattheCoffinButteLandfill.aspx,PLToHaSRTatCBL040616LGB0406161230PM
Pre/Post LFG Treatment:The Removal of Siloxane from Landfill Gas ,"<strong> ABSTRACT:</strong><br> The removal of siloxane from landfill gas is required to protect downstream facilities including IC engines, microturbines, turbines, boilers and high BTU pipelines This presentation looks at next generation siloxane removal technologies, including semi-closed loop temperature swing adsorption systems, UV decomposition systems and catalytic membrane systems for downstream equipment protection. ",4/6/16 12:30,4/6/16 13:30,Room 1,LGB, ,"DWaineo,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheRemovalofSiloxanefromLandfillGas.aspx,PLTRoSfLG040616LGB0406161230PM
Break,.,4/6/16 13:30,4/6/16 14:30,Exhibit Hall,all, ,,,B040616all040616130PM
Regulatory Aspects of Food Waste Recycling: Jump Starting Food Recovery in South Carolina,"<strong> ABSTRACT:</strong><br> <br> South Carolina has revised its compost rules to remove barriers that for years had hindered food recovery efforts. Jana White will explain how flexibility was built into the new rules and discuss how grants and education/outreach efforts are being used in South Carolina to promote food donation, increase compost use and reduce organic waste. ",4/6/16 14:30,4/6/16 15:30,Ballroom B,RTZW, ,"JWhite,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/JumpStartingFoodRecoveryinSouthCarolina.aspx,RAoFWRJSFRiSC040616RTZW040616230PM
Regulatory Aspects of Food Waste Recycling: _After a Good Dinner ..._: The Meat and Bones of Food Waste Management,.,4/6/16 14:30,4/6/16 15:30,Ballroom B,RTZW, ,,,RAoFWR_aGDTMaBoFWM040616RTZW040616230PM
Landfill Operations:Benefits of Serving Pancakes at Your Landfill, <br> <strong> ABSTRACT:</strong><br> This presentation focuses on how implementing the flat-fill method at MPE has successfully increased landfill capacity by 17 years and provides $395 million of additional revenue potential. The flat-fill method is a feasible alternative to traditional landfilling. Weekly cells are designed to utilize horizontal layers â€“ or pancakes. This method provides for numerous benefits: <ul> <li>Improves safety at the working face </li> <li>Increases waste compaction </li> <li>reduces soil usage </li> <li>Increases ability to recirculate leachate </li> <li>Increase traffic flow </li> <li>and allows for better managed airspace</li> </ul> Metro Waste has realized a reduction in annual expense with this new method. <br> <br> ,4/6/16 14:30,4/6/16 16:00,Ballroom A,LF, ,"JDworek,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BenefitsofServingPancakesatYourLandfill.aspx,LOoSPaYL040616LF040616230PM
Landfill Operations:Landfill Settlement: The Benefits of Knowing What Goes On Inside and Outside Your Landfill,.,4/6/16 14:30,4/6/16 16:00,Ballroom A,LF, ,,,LOSTBoKWGOIaOYL040616LF040616230PM
Landfill Operations:Sinkhole Remediation within the Lined Limits of a Class I Landfill," <br> <strong> ABSTRACT:</strong><br> In December of 2010, a 190-foot deep, 150-foot wide sinkhole developed within the waste footprint of the Southeast County Landfill located in Lithia, Florida. The landfill operations are overseen by the Hillsborough County Public Works Department, Solid Waste Management Division (SWMD). HDR, currently providing long-term engineering services to the SWMD, was retained to develop a stabilization plan for the sinkhole area, address potential impacts the sinkhole had to the landfill operations, and develop remediation plans for repairs to the landfill infrastructure that was damaged by the collapse. Since a sinkhole collapse directly within a landfill disposal footprint is an extremely rare occurrence, there were no established methodologies in place for the remediation and environmental protection of the stabilization. HDR, working closely with the SWMD and the Florida Department of Environmental Protection (FDEP) Solid Waste Management Division, developed a thorough plan addressing: the initial stabilization of the sinkhole collapse area, investigation and characterization of the sinkhole geology, a remediation plan for sealing the sinkhole cavity, and repair, reuse, of the impacted disposal area. The project resulted in stabilizing the sinkhole collapse area, isolating the impacted area, minimizing environmental impacts and recapturing the use of disposal areas adjacent to the sinkhole area. <br> <br> ",4/6/16 14:30,4/6/16 16:00,Ballroom A,LF, ,"RCurtis,RSiemering,LRuiz,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SinkholeRemediationwithintheLinedLimitsofaClassILandfill.aspx,LORwtLLoaCIL040616LF040616230PM
International LFG Applications:Taking Lessons Learned Around the World: A Case Study of Improving Landfill Gas Collection Systems,"<strong> ABSTRACT:</strong><br> This presentation will outline how lessons learned providing engineering and design services for landfill gas collection systems in the United States were applied to a site in Brazil. These lessons learned were used to increase gasproduction and improve gas operations. A general overview of assessment techniques and benchmarks will be discussed, along with a case study of specific examples of typical problems encountered at both the United States site and the Brazilian site.<br> <br> This presentation will compare some of the problems encountered and highlight how they were alike and different due to site locations. Specifically the impacts of designing and assessing a gas system for a Subtitle D Landfill in the United States will be compared to impacts of a site in Brazil that did not have compaction or daily cover and how each effected system. The presenter also will discuss how the recommendations to repair and improve the system in the United States and the Brazilian site were the same and different. The presentation will include data and pictures from the two sites in the case study.<br> <br> Following this presentation, participants will be able to...<br> 1) visualize examples of sub-surface LFG well failures<br> 2) gain ideas to improve LFG collection<br> 3) obtain benchmarks for assessing LFG systems ",4/6/16 14:30,4/6/16 16:00,Ballroom C,LGB, ,"JMorgan,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TakingLessonsLearnedAroundtheWorld.aspx,ILALLAtWACSoILGCS040616LGB040616230PM
International LFG Applications:The City of Calgary LFG Recovery Projects -   A Decade of Challenges and Successes,"<strong> ABSTRACT:</strong><br> Our presentation will provide an overview of the challenges and success stories for the City of Calgary over a period of a decade of LFG recovery and utilization from dry and shallow active landfill sites at the City's waste management facilities.<br> <br> The City of Calgary, located within the semi-arid climate of southern Alberta, owns and operates three active landfill sites within its corporate limits. These sites are part of the cityâ€™s waste management facilities, providing treatment and disposal of MSW for almost 50 years. For the most part, solid waste disposal at these sites has been based on shallow dry-tomb landfilling with average waste depths of about 15 to 20 meters. The development of LFG collection and utilization projects was undertaken voluntarily at two of the sites (East Calgary and Shepard) in 2005. The dry nature of the MSW, combined with the dry climate, shallow nature of the waste landfills and changes in regulatory requirements, have presented challenges to extract and maintain consistent sustainable LFG flow rates and stable gas quality. The recovered LFG at each site always has been significantly lower than modeled LFG, even with using the lowest default factors for methane generation constant and methane generation potential. This low generation also makes it extremely difficult to maximize the beneficial end use of the gas using the designed power generation equipment at these two waste management facilities. The LFG facilities were designed, operated and maintained by CH2M through a consultancy agreement with the city since the start of operations in 2005. In early 2015, CH2M successfully transitioned the operations of each LFG facility to the cityâ€™s waste and recycling services technical staff, with CH2M continuing to provide technical support and specialized maintenance services under contract on an as needed basis. <br> <br> Following this presentation, participants will be able to...<br> 1) identify challenges with sustainable LFG recovery from dry sites<br> 2) understand ways to sucessfully overcome these challenges ",4/6/16 14:30,4/6/16 16:00,Ballroom C,LGB, ,"CSmith,MOrtiz,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TheCityofCalgaryLFGRecoveryProjects.aspx,ILACoCLRPADoCaS040616LGB040616230PM
International LFG Applications:Trials/Tribulations of a Small Landfill Gas to Energy Project:  335 Kilowatts of Green Power,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8dc_egoHg7E"" frameborder=""0""></iframe><br> <br> <strong> ABSTRACT:</strong><br> Summary: This presentation will provide a clear picture of the difficulties of implementing a small-scale landfill gas to electricity generation projects within the City of Kawartha Lakes, Ontario. Difficulties with the Ontario approvals process will be discussed, as well as broader difficulties, including the sensitivity of energy prices and utility incentive programs on the economic viability of such projects. The importance of non-economic drivers will be reinforced.<br> <br> Description:<br> The City of Kawartha Lakes (CKL) is a municipality located in Central Ontario, Canada, with a population of 75,000. The City owns and operates five landfills, the largest of which is the Lindsay/Ops Landfill located north of the Town of Lindsay. There are currently 900,000 tonnes of waste in place, with a total capacity of 1,500,000 tonnes. In June 2008, modifications were made to Ontario waste management regulations to address greenhouse gas emissions from landfill gas As a result, it became a requirement for any operating landfill site with a total waste capacity greater than 1.5 million cubic metres to implement landfill gas control. The Lindsay/Ops Landfill fell into this category, and in 2008, CKL applied for funding through the Ontario Ministry of the Environment and Climate Change (MOECC). CKL was successful in obtaining two-thirds funding for a landfill gas collection, flaring and utilization project. A detailed design was completed, and the flaring and collection system were tendered in advance of the landfill gas utilization component. The landfill gas flare and collection system was constructed during 2011 and has been operational since March 2012, flaring on the order of 115 cfm of landfill gas at 42 percent by volume methane. The landfill gas utilization component of the project was anticipated to involve a landfill gas fuelled engine that would provide electricity for both the landfill and the adjacent Water Pollution Control Plant (WPCP). Based on the amount of landfill gas available, a 335-kilowatt engine was specified, which closely matches the load at both facilities. This project was tendered in September 2011. When pricing was received, it was higher than anticipated and the economics of the project were re-evaluated. Recommendations were made to City Council not to proceed with the landfill gas utilization component of this project; however, City Council overturned this and called for further measures to be taken to reduce cost and move this green energy project forward. In 2012, (as a cost-saving measure) CKL purchased a 335-kilowatt engine directly that would be supplied to a successful contractor to install. The project was re-tendered in this format, and construction began in October 2014. Construction was completed during July 2015, and connection to the electricity grid was scheduled for August 26th, 2015. The project has been plagued by challenges including the following:<br> â€¢	timing constraints due to funding deadlines imposed by the MOECC <br> â€¢	approval processes that have significantly changed since the beginning of the project (i.e. the Ontario Renewable Energy Approval process). <br> â€¢	the sensitivity of the projectâ€™s rate of return given current energy prices and available incentive programs. <br> â€¢	lack of submitted tenders and tender prices in excess of expectations. <br> â€¢	limited economy of scale with respect to landfill gas pre-treatment for small electricity generation projects. <br> The challenges listed are interconnected and affect either the timing of the project and/or the overall economic viability. Despite these very significant challenges, CKL continued to push this project forward and now looks forward to producing enough green power to operate their facilities.<br> <br> Following this presentation, participants will be able to...<br> 1) understand the difficulties of implementing a small landfill gas to energy project.<br> 2) understand the sensitivity of energy prices and utility incentive programs on the bottom line.<br> 3) understand the importance of non-economic drivers for these types of projects.<br> ",4/6/16 14:30,4/6/16 16:00,Ballroom C,LGB, ,"DKerr,DBurgess,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TrialsandTribulationsofaSmallLandfillGastoEnergyProject.aspx,ILAoaSLGtEP3KoGP040616LGB040616230PM
Session Change,.,4/6/16 15:30,4/6/16 15:40,.,RTZW, ,,,SC040616RTZW040616330PM
Best Hope is Not Hoping for the Best:  Critical Legal Issues in Waste Collection Contracts,<strong> ABSTRACT:</strong><br> <br> Attendees will learn to identify and shape key contract provisions to minimize risk and liability and maximize performance from service providers in municipal contracts for residential and commercial franchised collection. ,4/6/16 15:40,4/6/16 16:10,Ballroom B,RTZW, ,"BShanoff,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/CriticalLegalIssuesinWasteCollectionContracts.aspx,BHiNHftBCLIiWCC040616RTZW040616340PM
Session Change,.,4/6/16 16:00,4/6/16 16:10,.,"LF,LGB", ,,,SC040616LFLGB040616400PM
Session Change,.,4/6/16 16:10,4/6/16 16:20,.,RTZW, ,,,SC040616RTZW040616410PM
Leachate Techniques through Case Studies,"<em>In a rapid-fire and lively discussion of various case studies for leachate management, we will hear from presenters using case studies to describe a leachate management system. Each presenter will state their case in a three-minute burst, with a round table discussion following for questions and answers.&nbsp;Each presenter will describe the site problem, possible solutions, reasons for and basic concepts of a selected approach and costs and problems.</em><br> Presenters:<ol> <li>Randy Bodnar, VP, Civil &amp; Environmental Consultants&nbsp;<em>_ Contracts and Project Management Coordination for Leachate Treatment System</em></li> <li>Francis DeOrio, Technical Director, O'Brien and Gere _&nbsp;<em>Lessons Learned on the Start-up and Operation of Two Leachate Treatment Plant</em></li> <li>Ravi Kadambala, Senior Project Professional,&nbsp; SCS Engineers &nbsp;_ &nbsp;<em>A Case Study - Evaluation of a Leachate Collection System Buried under Class III Waste for More Than 25 Years</em></li> <li>Ron Ruocco, Project Manager, Civil &amp; Environmental Consultants, Inc. _&nbsp;<em>Trials, Tribulations and Success at Controlling Multi-Point Odor Sources at a Leachate Pre-Treatment Plant</em></li> <li>Laurel C. Urena, Staff Professional,&nbsp; SCS Engineers _&nbsp;<em>New Landfill Leachate Treatment Plant Tackles Multiple Tough Design Conditions</em></li> <li>Mark Sposato, Project Manager, O'Brien and Gere&nbsp;_&nbsp;<em>Operating Data and Modeling Results from an MBR/RO Pilot System Treating Landfill Leachate</em></li> <li>Milton &ldquo;Tony&rdquo; Knight, CEO, &nbsp;New Waste Concepts Inc. _&nbsp;<em>Low Cost Spray Evaporation at Landfills</em></li> <li>Scott Grieco,&nbsp; Vice President, National Practice Leader,&nbsp; O'Brien and Gere - &nbsp;<em>Organics in Landfill Leachate:&nbsp; The Pros and Cons of using RO Following Biological Treatment</em></li></ol>",4/6/16 16:10,4/6/16 17:10,Ballroom A,LF, ,,,LTtCS040616LF040616410PM
Safety and Utilization:Building a Safety Program and Culture in the Landfill Gas Industry, <br> <strong> ABSTRACT:</strong><br> Coming Soon<br> ,4/6/16 16:10,4/6/16 17:40,Ballroom C,LGB, ,"MHill,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BuildingaSafetyProgramandCultureintheLandfillGasIndustry.aspx,SaUaSPaCitLGI040616LGB040616410PM
Safety and Utilization:St. Landry Parish BioCNG Goes Mobile with a Satellite Renewable Natural Gas Fueling Outpost," <br> <strong> ABSTRACT:</strong><br> Summary<br> St. Landry Parish Solid Waste Disposal District developed a BioCNG processing and fueling station for district vehicle fueling. Production capability was not fully used, and additional LFG was flared. The district negotiated a contract with its waste collection contractor to purchase BioCNG fuel. The agreement allowed the contractor to purchase a new CNG fleet and the district to develop the first satellite CNG fueling outpost supplied by a transport trailer filled at its primary (landfill) location.<br> <br> Description<br> St. Landry Parish Solid Waste District installed a BioCNG biogas processing system in 2012 to make compressed natural gas (CNG) vehicle fuel for municipal vehicles, including Sheriff's Department cars, light duty trucks and a light duty van, and the solid waste districtâ€™s utility trucks. The award winning project came about due to the districtâ€™s 2008 decision to invest in a landfill gas (LFG) collection and flaring system to market greenhouse gas (GHG) offsets. That successful voluntary project provided an opportunity to find a beneficial use for the gas. After evaluating the potential beneficial uses for the collected LFG, the dDistrict deemed the biogas-to-vehicle fuel project to be the most economical choice. The SW District continued to expand its CNG vehicle fleet. As a result of the growing fleet, coupled with their history of fueling, the district worked on plans to expand its fueling capacity contemplating further growth in the use of biogas as a vehicle fuel. The best way to economically grow the BioCNG program was to increase CNG fuel demand. Parish residents embraced the original fueling concept, and some of the local communities have expressed a desire to have the BioCNG vehicle fuel available at a convenient off site location. However, this fuel demand alone would not allow the district to expand the system. The district did recognize Progressive Waste Solutions, the Parishâ€™s solid waste hauler, as a potential CNG user, but all of the existing vehicles were diesel powered. Due to hard work and diligence by the district, a mutually beneficial agreement was reached with Progressive for that company to convert its waste hauling fleet to CNG and commit to purchase a satisfactory volume of landfill derived CNG. One requirement of the CNG purchase agreement was for the district to have an un-interruptible CNG supply for the trucks. Adding backup natural gas to the landfillâ€™s BioCNG fueling station was not an option due to the distance to the nearest pipeline. The district decided to install an off-site CNG fueling station (satellite site) that would be supplied by the use of a CNG tube trailer filled at the landfill fueling station (primary site). The satellite site would have backup natural gas in the event that BioCNG was not available. This primary/satellite system also provides an off-site BioCNG source in the most populated Parish community and will be made available to the general public. This is the first development of a primary/satellite mobile fueling station that utilizes biogas derived CNG as the primary fuel source.<br> <br> Following this presentation, participants will be able to...<br> 1) understand economic and physical considerations for expansion of the BioCNG processing facility<br> 2) create a win â€“ win solution in developing a CNG vehicle fuel demand<br> 3) understand logistics of providing BioCNG fuel to a remote location <br> ",4/6/16 16:10,4/6/16 17:40,Ballroom C,LGB, ,"SWittman,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/StLandryParishBioCNGGoesMobilewithaSatelliteRenewableNaturalGasFuelingOutpost.aspx,SaULPBGMwaSRNGFO040616LGB040616410PM
Safety and Utilization:Onsite Leachate Destruction by Utilizing Landfill Gas and Leachate Evaporator Technology," <br> <strong> ABSTRACT:</strong><br> Summary<br> An ongoing problem that exists in many landfills throughout the country is the disposal of landfill leachate. Many landfills are running out of options of what to do with this ongoing issue and are turning to leachate evaporation that utilized landfill gas as a fuel source to evaporate the volumes that once were having to be hauled to local treatment facilities.<br> <br> Description<br> The development and implementation of the Subtitle D rules in the mid-1990s have dramatically improved waste handling and disposal practices in the United States. These regulations have improved human health and the environment where waste management intersects with our lives. Significant reductions in contamination of ground water and air quality, as well as disease carrying vectors and nuisance odors are attributable to improved design, construction, and operation of landfills under Subtitle D. These regulations also have presented challenges related to the costs of these operations. Not the least of these is related to leachate management. Collecting, storing and disposing of leachate in an environmentally responsible manner can be very burdensome and costly to the operation of a Subtitle D landfill. This presentation discusses problems encountered by one Subtitle D facility in South Carolina, one in Alabama and how they are reviewing the technology that was utilized on a Subtitle D facility in North Carolina that had similar problems. We will discuss the process of evaluating the various solutions that these sites investigated, judging both economic and technical feasibility criteria. Attempts to partner with local municipalities to extend service to the landfill were made, and programs including recirculation and pump/haul disposal were implemented at various times or not allowed. While each of these approaches showed promise at times, economic and other issues also presented new problems to be dealt with. This led the facility in North Carolina to explore a program it had evaluated previously; leachate evaporation. The landfill engaged in conversations with a third-party developer/operator of leachate evaporators. These conversations quickly turned into negotiations for turn-key management of a leachate evaporator with a capacity of 34,000 gallons per day using landfill gas as its sole source of fuel. Several steps went into the project, from both solid waste and air permitting modifications, agreement negotiation, to evaluation of existing leachate quality, design of the evaporation facility, management of residual material, operator selection and training, and startup. This project has been running continuously and steadily for more than three years now. Future plans are for possible expansion of the project using techniques currently under development to capture waste heat from landfill gas to power generators currently installed and operating. Just recently, the site in North Carolina has conducted additional testing on the particular matter that is generated in the evaporation process which is then discharged to the atmosphere and the findings also are discussed in the presentation.<br> <br> Following this presentation, participants will be able to...<br> 1) see how at one time the problem with disposal of leachate on their landfills can now be destroyed safely and cost efffectively by utilizing a resource that they are producing already on the landfill. <br> ",4/6/16 16:10,4/6/16 17:40,Ballroom C,LGB, ,"RKeckler,DPepper,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/OnsiteLeachateDestructionbyUtilizingLandfillGasandLeachateEvaporatorTechnology.aspx,SaULDbULGaLET040616LGB040616410PM
Overcoming Roadblocks to Zero Waste:Building Processing Capacity for Food Waste Diversion,<strong> ABSTRACT:</strong><br> Coming Soon ,4/6/16 16:20,4/6/16 17:30,Ballroom B,RTZW, ,"VRoof,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BuildingProcessingCapacityforFoodWasteDiversion.aspx,ORtZWPCfFWD040616RTZW040616420PM
