Date,StartTime,EndTime,SessionTitle,Speakers,Summary,ConfCode,Link,Location
`April 6,4:10 p.m.,5:10 p.m.,Leachate Techniques through Case Studies,.,"<em>In a rapid-fire and lively discussion of various case studies for leachate management, we will hear from presenters using case studies to describe a leachate management system. Each presenter will state their case in a three-minute burst, with a round table discussion following for questions and answers.&nbsp;Each presenter will describe the site problem, possible solutions, reasons for and basic concepts of a selected approach and costs and problems.</em><br>  Presenters:</p><ol>  <li>Randy Bodnar, VP, Civil &amp; Environmental Consultants&nbsp;<em>_ Contracts and Project Management Coordination for Leachate Treatment System</em></li>  <li>Francis DeOrio, Technical Director, O'Brien and Gere _&nbsp;<em>Lessons Learned on the Start-up and Operation of Two Leachate Treatment Plant</em></li>  <li>Ravi Kadambala, Senior Project Professional,&nbsp; SCS Engineers &nbsp;_ &nbsp;<em>A Case Study - Evaluation of a Leachate Collection System Buried under Class III Waste for More Than 25 Years</em></li>  <li>Ron Ruocco, Project Manager, Civil &amp; Environmental Consultants, Inc. _&nbsp;<em>Trials, Tribulations and Success at Controlling Multi-Point Odor Sources at a Leachate Pre-Treatment Plant</em></li>  <li>Laurel C. Urena, Staff Professional,&nbsp; SCS Engineers _&nbsp;<em>New Landfill Leachate Treatment Plant Tackles Multiple Tough Design Conditions</em></li>  <li>Mark Sposato, Project Manager, O'Brien and Gere&nbsp;_&nbsp;<em>Operating Data and Modeling Results from an MBR/RO Pilot System Treating Landfill Leachate</em></li>  <li>Milton &ldquo;Tony&rdquo; Knight, CEO, &nbsp;New Waste Concepts Inc. _&nbsp;<em>Low Cost Spray Evaporation at Landfills</em></li>  <li>Scott Grieco,&nbsp; Vice President, National Practice Leader,&nbsp; O'Brien and Gere - &nbsp;<em>Organics in Landfill Leachate:&nbsp; The Pros and Cons of using RO Following Biological Treatment</em></li></ol>",LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/LeachateTechniquesthroughCaseStudies.aspx,Ballroom A
`April 6,4:10 p.m.,5:40 p.m.,Safety and Utilization<br />Building a Safety Program and Culture in the Landfill Gas Industry,"Mark Hill, Regional Operations Director, DTE Energy",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BuildingaSafetyProgramandCultureintheLandfillGasIndustry.aspx,Ballroom C
`April 6,4:10 p.m.,5:40 p.m.,Safety and Utilization<br />St. Landry Parish BioCNG Goes Mobile with a Satellite Renewable Natural Gas Fueling Outpost,"Steven Wittman, Senior Client Manager, Cornerstone Environmental Group",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/StLandryParishBioCNGGoesMobilewithaSatelliteRenewableNaturalGasFuelingOutpost.aspx,Ballroom C
`April 6,4:10 p.m.,5:40 p.m.,Safety and Utilization<br />Onsite Leachate Destruction by Utilizing Landfill Gas and Leachate Evaporator Technology,"Russ Keckler, Project & Product Manager, CB&I/LFG Specialties, LLC; David Pepper, Vice President and Director of Capital Projects, Waste Industries",.,LGB,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/OnsiteLeachateDestructionbyUtilizingLandfillGasandLeachateEvaporatorTechnology.aspx,Ballroom C
`April 6,4:20 p.m.,5:30 p.m.,Overcoming Roadblocks to Zero Waste<br />Building Processing Capacity for Food Waste Diversion,"Veronica Roof, Senior Environmental Policy Specialist, Burns & McDonnell",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/BuildingProcessingCapacityforFoodWasteDiversion.aspx,Ballroom B
`April 6,4:20 p.m.,5:30 p.m.,Overcoming Roadblocks to Zero Waste<br />Herding Cats-Getting People to Work Together,"Tim Flanagan, General Manager, Monterey Regional Waste Management District; Rob Hilton, Vice-President, HF&H Consultants, LLC",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/GettingPeopletoWorkTogether.aspx,Ballroom B
`April 6,4:20 p.m.,5:30 p.m.,Overcoming Roadblocks to Zero Waste<br />SWANA's Zero Waste Certification Course,"Mitch Kessler, President, Kessler Consulting, Inc.",.,RTZW,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SWANAsZeroWasteCertificationCourse.aspx,Ballroom B
`April 6,5:10 p.m.,5:20 p.m.,Session Change,.,.,LF,#,.
`April 6,5:20 p.m.,5:50 p.m.,Self-Sustaining Thermal Reactions at Landfills - Hypotheses and Symptoms,"Henry Kerfoot, Principal, Civil and Environmental Consultants, Inc.",.,LF,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SelfSustainingThermalReactionsatLandfillsHypothesesandSymptoms.aspx,Ballroom A
`April 7,7:00 a.m.,10:00 a.m.,Registration and Information Desk Open,.,.,YP all,#,.
`April 7,7:30 a.m.,8:00 a.m.,Certification Exam Check-in,.,.,all,#,Room 5
`April 7,7:30 a.m.,8:00 a.m.,Continental Breakfast,.,.,all,#,.
`April 7,8:30 a.m.,12:00 p.m.,LMOP Workshop,.,.,LMOP,#,Ballroom C
`April 7,8:30 a.m.,9:00 a.m.,LMOP Welcome,"Swarupa Ganguli, Team Lead - Landfill Methane Outreach Program/Global Methane Initiative, U.S. Environmental Protection Agency",.,LMOP,#,Ballroom C
`April 7,9:00 a.m.,11:45 a.m.,Charleston County Commercial Food Waste Walking Tour,.,"We will visit local businesses participating in the Charleston County Commercial Food Waste Composting Program. The program gives local businesses the opportunity to reduce their overall disposal costs and impact on the environment by contracting for collection services and negotiating fees to divert this material from the waste stream to Charleston County's Bees Ferry Compost Facility. <br />The program earned the U.S. Composting Council's (USCC) Seal of Testing Assurance (STA), which testifies that the finished compost consistently meets that program's high quality standards. USCC awarded Charleston County its Composting Program of the Year Award in 2014.",all,#,.
`April 7,9:00 a.m.,9:20 a.m.,LMOP Workshop<br />Trends in Beneficial Use of Landfill Gas and Potential Impacts of Organics Diversion,"Bryan Staley, P.E. Ph.D., Director, Environmental Research and Education Foundation",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TrendsinBeneficialUseofLandfillGasandPotentialImpactsofOrganicsDiversion.aspx,Ballroom C
`April 7,9:20 a.m.,9:40 a.m.,LMOP Workshop<br />What is the Value of Landfill Gas to Energy in the Future Electric Energy Marketplace?,"Michael D. Bedley, Partner, APEX Power Services Corp.",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WhatistheValueofLandfillGastoEnergyintheFutureElectricEnergyMarketplace.aspx,Ballroom C
`April 7,9:30 a.m.,10:30 a.m.,Networking 101,"Ashley V. Evans, P.E., LEED AP / Project Manager, Arcadis",.,YP all,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/Networking101.aspx,Room 1
`April 7,9:40 a.m.,10:00 a.m.,LMOP Workshop<br />A Case Study Example for Value Creation from Biogas,"Randall Lack, Chief Marketing Officer, Element Markets, LLC",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ACaseStudyExampleforValueCreationfromBiogas.aspx,Ballroom C
`April 7,10:30 a.m.,10:50 a.m.,LMOP Workshop<br />Challenges of Procuring A New Landfill Gas Beneficial Use Contract as An Existing Contract Expires,"Rick Sapir, Partner, Hawkins Delafield & Wood LLP",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ChallengesofProcuringANewLandfillGasBeneficialUseContractasAnExistingContractExpires.aspx,Ballroom C
`April 7,10:50 a.m.,11:10 a.m.,LMOP Workshop<br />Wellfield Remote Monitoring and Automatic Control,"Andrew Campanella, CEO, Loci Controls",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WellfieldRemoteMonitoringandAutomaticControl.aspx,Ballroom C
`April 7,11:10 a.m.,11:30 a.m.,LMOP Workshop<br />Productively Turning Landfill Gas into Clean & Renewable Energy,"Alain Castro, CEO, Ener-Core, Inc.",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ProductivelyTurningLandfillGasintoCleanRenewableEnergy.aspx,Ballroom C
`April 7,11:30 a.m.,11:50 a.m.,LMOP Workshop<br />Utilizing a Combustor and a Waste Heat Generator to Convert Landfill Gas to Clean Power,"Robert Miller, ,Clear Power Systems ",.,LMOP,https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/UtilizingaCombustorandaWasteHeatGeneratortoConvertLandfillGastoCleanPower.aspx,Ballroom C
`April 7,11:50 a.m.,12:00 p.m.,LMOP Workshop<br />Questions,.,.,LMOP,#,Ballroom C
`April 7,1:00 p.m.,4:00 p.m.,Bees Ferry Road Landfill Facility Tour,MAXIMUM PARTICIPANTS: 50; Lunch Included,"Charleston County's Environmental Management Department operates the 312-acre Bees Ferry Road Landfill, including a 36-acre Compost Facility that processes 100% of the yard waste generated and accepted at the landfill, nearly 75,000 tons a year.  Charleston County has become the largest compost producer in the state and one of the largest on the East Coast. The facility has implemented two major innovations _ using compost as Alternative Daily Cover and conducting a food waste composting pilot. ",all,#,.
`April 7,1:00 p.m.,4:30 p.m.,Berkeley County Water & Sanitation Tour,.,"Berkeley County Water &amp; Sanitation's green energy projects include a Landfill Gas to Energy (LFG) project with <a href=""https://www.santeecooper.com/portal/page/portal/santeecooper/homepage"">Santee Cooper</a>,&nbsp;a state-owned electric and water utility, that partners with <a href=""http://www.ghgworks.com/"">Blue Source</a>, a company that verifies BCWS's carbon credits. This is somewhat different than most Landfill Gas to Energy projects in that BCWS decided to keep the carbon credits rather than allow the end user of the LFG to collect them. Google was the first company to purchase carbon credits from BCWS. &nbsp;A section of the landfill is closed using artificial turf - specifically the &quot;Closure Turf&quot; manufactured by AgruAmerica. This system was designed to handle up to 2,500 Standard cubic feet per minute (SCFM) of LFG of which they were able to produce around 300 SCFM allowing for expansion over the next 10 years using up to 6, 2 megawatt generators. Future projects include plans to take the leachate and effluent from the landfill and wastewater treatment facility and use it in an algae to energy facility.<br />Tour Guide: Mark Schlievert, Director of Solid Waste - Berkeley County<br /><p>Sponsored by Watershed</p><img alt=""Watershed"" class=""sponsors"" style=""width: 35%;"" src=""/portals/0/events/sponsors/watershed.jpg"" />",all,#,.
